	UMAP1	UMAP2
293T_TFF1_DNA_Pool-1_2F:44:D4:02	1.1310064	9.337585
293T_TFF1_DNA_Pool-1_2F:47:0B:01	-1.0250541	7.226322
293T_TFF1_DNA_Pool-1_2F:47:N7:03	1.2911991	8.219782
293T_TFF1_DNA_Pool-1_2F:48:54:01	-0.065142155	7.955285
293T_TFF1_DNA_Pool-1_2F:48:69:11	-2.0629234	6.202625
293T_TFF1_DNA_Pool-1_2F:48:D4:02	0.29686835	11.26464
293T_TFF1_DNA_Pool-1_2F:83:Q8:09	0.31511524	6.358916
293T_TFF1_DNA_Pool-1_2F:87:0F:07	1.531509	9.815929
293T_TFF1_DNA_Pool-1_2F:88:E6:09	-0.82004845	8.44923
293T_TFF1_DNA_Pool-1_2F:95:B3:02	2.2057157	8.078415
293T_TFF1_DNA_Pool-1_2F:95:R2:04	-1.8926637	9.116455
293T_TFF1_DNA_Pool-1_2F:96:56:04	0.8095759	9.953663
293T_TFF1_DNA_Pool-1_2F:A3:56:04	-0.29024646	8.361956
293T_TFF1_DNA_Pool-1_2F:A7:F3:11	-0.311485	9.466358
293T_TFF1_DNA_Pool-1_2F:A7:P4:11	1.4794112	8.835267
293T_TFF1_DNA_Pool-1_2F:A8:F3:11	1.3514751	8.061617
293T_TFF1_DNA_Pool-1_2F:B5:41:12	0.8872588	9.349743
293T_TFF1_DNA_Pool-1_2F:B5:L6:05	-1.6360157	8.383141
293T_TFF1_DNA_Pool-1_2F:C8:T7:07	-1.5110164	7.901997
293T_TFF1_DNA_Pool-1_2F:D1:D4:02	-0.54228747	10.180521
293T_TFF1_DNA_Pool-1_2F:D5:0F:07	1.7305629	8.709694
293T_TFF1_DNA_Pool-1_2F:E3:81:10	1.7066029	8.937093
293T_TFF1_DNA_Pool-1_2F:F1:54:02	-0.45717993	9.815467
293T_TFF1_DNA_Pool-1_2F:F9:L0:11	0.54896194	5.584754
293T_TFF1_DNA_Pool-1_2F:G0:Z3:11	-0.79151785	6.282748
293T_TFF1_DNA_Pool-1_2F:G8:24:09	-2.204306	9.37077
293T_TFF1_DNA_Pool-1_2F:G8:D2:02	-1.4379569	7.5604353
293T_TFF1_DNA_Pool-1_2F:H9:J3:11	-1.1501387	9.697984
293T_TFF1_DNA_Pool-1_2F:I0:N4:09	1.2396485	10.018536
293T_TFF1_DNA_Pool-1_2F:I8:28:09	-0.8141412	7.0385118
293T_TFF1_DNA_Pool-1_2F:J1:81:10	0.5014695	9.764862
293T_TFF1_DNA_Pool-1_2F:J1:C4:02	0.63274866	6.9045978
293T_TFF1_DNA_Pool-1_2F:J1:K2:11	-2.2545335	9.812511
293T_TFF1_DNA_Pool-1_2F:J2:0F:07	-2.4431586	9.436638
293T_TFF1_DNA_Pool-1_2F:K3:56:04	-1.9820583	9.131026
293T_TFF1_DNA_Pool-1_2F:M0:A6:09	0.0756717	6.2629924
293T_TFF1_DNA_Pool-1_2F:N9:69:11	0.7322355	6.612474
293T_TFF1_DNA_Pool-1_2F:N9:81:10	-1.589028	6.5001936
293T_TFF1_DNA_Pool-1_2F:N9:E6:09	-1.2017617	8.580605
293T_TFF1_DNA_Pool-1_2F:N9:J0:09	-2.8670714	8.039456
293T_TFF1_DNA_Pool-1_2F:O0:Y2:05	0.64072466	7.0153027
293T_TFF1_DNA_Pool-1_2F:O3:56:04	-0.21999869	7.474121
293T_TFF1_DNA_Pool-1_2F:Q4:D4:02	1.5763582	6.9289594
293T_TFF1_DNA_Pool-1_2F:Q8:77:02	-0.2902944	7.0592957
293T_TFF1_DNA_Pool-1_2F:R6:J6:05	0.3545767	9.462062
293T_TFF1_DNA_Pool-1_2F:R9:56:07	-1.025669	7.242373
293T_TFF1_DNA_Pool-1_2F:S0:H3:02	1.045453	11.094315
293T_TFF1_DNA_Pool-1_2F:S7:D3:05	-1.5339172	8.709383
293T_TFF1_DNA_Pool-1_2F:S7:O6:11	0.7498117	8.106184
293T_TFF1_DNA_Pool-1_2F:S7:Q8:07	-0.28826672	10.066837
293T_TFF1_DNA_Pool-1_2F:U0:58:07	0.5655553	8.975327
293T_TFF1_DNA_Pool-1_2F:U0:98:11	-0.868995	9.482992
293T_TFF1_DNA_Pool-1_2F:V6:0F:01	-1.2389379	6.594526
293T_TFF1_DNA_Pool-1_2F:V9:E8:11	-1.4445516	8.616497
293T_TFF1_DNA_Pool-1_2F:V9:M0:07	-1.9634185	8.44311
293T_TFF1_DNA_Pool-1_2F:W3:0F:07	-1.9269452	7.0584373
293T_TFF1_DNA_Pool-1_2F:W7:26:10	-1.0623868	7.7184563
293T_TFF1_DNA_Pool-1_2F:W7:56:04	-0.20466973	8.324557
293T_TFF1_DNA_Pool-1_2F:W7:J0:11	0.14021595	9.264653
293T_TFF1_DNA_Pool-1_2F:X2:Q1:07	-0.6978526	8.528491
293T_TFF1_DNA_Pool-1_2F:X5:B7:03	0.89565754	8.114208
293T_TFF1_DNA_Pool-1_2F:X5:C0:06	-2.383325	7.9602265
293T_TFF1_DNA_Pool-1_2F:X5:K1:12	-1.8090587	8.245868
293T_TFF1_DNA_Pool-1_2F:X5:M8:12	-0.16453868	9.294606
293T_TFF1_DNA_Pool-1_2F:Y3:H6:07	-2.5080967	6.8863215
293T_TFF1_DNA_Pool-1_2F:Z2:41:07	-0.95791495	7.469096
293T_TFF1_DNA_Pool-1_2F:Z5:81:07	-2.0209715	6.004207
293T_TFF1_DNA_Pool-1_2F:Z5:R0:11	1.6261986	7.658212
293T_TFF1_DNA_Pool-1_2E:08:H4:09	-1.6324828	7.572814
293T_TFF1_DNA_Pool-1_2E:0H:B6:08	-0.7081545	9.20204
293T_TFF1_DNA_Pool-1_2E:0H:C4:09	0.4452752	10.084334
293T_TFF1_DNA_Pool-1_2E:0Q:14:09	1.5114833	8.989546
293T_TFF1_DNA_Pool-1_2E:0X:0F:07	-0.32565436	7.2228317
293T_TFF1_DNA_Pool-1_2E:0X:G5:11	-0.29220715	6.4702954
293T_TFF1_DNA_Pool-1_2E:0Y:02:02	-0.39140722	10.024512
293T_TFF1_DNA_Pool-1_2E:0Y:E2:02	0.5060091	8.96467
293T_TFF1_DNA_Pool-1_2E:0Y:J6:08	-0.44591108	10.231914
293T_TFF1_DNA_Pool-1_2E:0Y:T7:02	0.9149767	10.4113035
293T_TFF1_DNA_Pool-1_2E:24:0R:02	-0.46669844	6.304872
293T_TFF1_DNA_Pool-1_2E:31:J8:07	2.1239715	7.9402742
293T_TFF1_DNA_Pool-1_2E:36:S5:02	-1.3546759	8.003971
293T_TFF1_DNA_Pool-1_2E:40:R7:02	-1.7785141	10.848141
293T_TFF1_DNA_Pool-1_2E:47:0V:02	-1.1029156	10.08688
293T_TFF1_DNA_Pool-1_2E:47:84:02	-0.5935443	9.694914
293T_TFF1_DNA_Pool-1_2E:47:B2:09	-2.0031993	9.170794
293T_TFF1_DNA_Pool-1_2E:47:U5:04	-0.50900555	8.418274
293T_TFF1_DNA_Pool-1_2E:72:Q0:10	1.6446201	9.33109
293T_TFF1_DNA_Pool-1_2E:79:Y5:02	1.8036973	9.275041
293T_TFF1_DNA_Pool-1_2E:80:E1:02	-1.777907	9.19308
293T_TFF1_DNA_Pool-1_2E:80:Q8:01	-0.7065686	8.407986
293T_TFF1_DNA_Pool-1_2E:95:S5:06	-2.2473526	7.039379
293T_TFF1_DNA_Pool-1_2E:A4:I9:01	-2.0667937	9.594174
293T_TFF1_DNA_Pool-1_2E:A7:R3:05	-2.0211275	9.776344
293T_TFF1_DNA_Pool-1_2E:B5:S9:02	1.379796	10.208428
293T_TFF1_DNA_Pool-1_2E:B9:08:03	0.09746008	8.674308
293T_TFF1_DNA_Pool-1_2E:B9:Y2:01	-1.8389854	10.742407
293T_TFF1_DNA_Pool-1_2E:C8:54:08	-1.7541889	8.940088
293T_TFF1_DNA_Pool-1_2E:D5:C4:09	-0.59826887	7.944699
293T_TFF1_DNA_Pool-1_2E:E3:49:05	-0.9690596	8.981512
293T_TFF1_DNA_Pool-1_2E:E3:65:06	-2.75318	10.184241
293T_TFF1_DNA_Pool-1_2E:E4:T0:04	-2.347124	9.717587
293T_TFF1_DNA_Pool-1_2E:E7:72:02	-0.97797716	6.3979673
293T_TFF1_DNA_Pool-1_2E:F1:56:11	-1.5423033	10.054978
293T_TFF1_DNA_Pool-1_2E:F2:H6:02	-2.4343994	7.7483187
293T_TFF1_DNA_Pool-1_2E:G8:D2:02	0.6305462	8.76099
293T_TFF1_DNA_Pool-1_2E:G8:D3:02	-0.7532541	8.457615
293T_TFF1_DNA_Pool-1_2E:G8:U5:04	-1.6541611	6.5810027
293T_TFF1_DNA_Pool-1_2E:H6:X3:02	1.6435102	10.427135
293T_TFF1_DNA_Pool-1_2E:H6:Y6:02	-0.85559	6.7952924
293T_TFF1_DNA_Pool-1_2E:H9:N0:11	-2.7723708	8.606581
293T_TFF1_DNA_Pool-1_2E:I3:08:02	-2.9866695	8.124729
293T_TFF1_DNA_Pool-1_2E:I3:Y6:02	-0.73609304	9.363854
293T_TFF1_DNA_Pool-1_2E:J1:G8:04	-2.283568	8.418936
293T_TFF1_DNA_Pool-1_2E:J1:X4:11	-1.4387013	8.378618
293T_TFF1_DNA_Pool-1_2E:J1:Z8:07	-0.9662612	8.080636
293T_TFF1_DNA_Pool-1_2E:K7:D2:04	-0.49982637	8.439214
293T_TFF1_DNA_Pool-1_2E:L9:X7:02	-1.2418563	9.323235
293T_TFF1_DNA_Pool-1_2E:N6:13:02	1.8055466	7.5708117
293T_TFF1_DNA_Pool-1_2E:N9:98:09	0.57035	9.537552
293T_TFF1_DNA_Pool-1_2E:N9:G9:11	-0.40386415	8.228947
293T_TFF1_DNA_Pool-1_2E:N9:H8:01	-0.90251637	9.419588
293T_TFF1_DNA_Pool-1_2E:N9:M4:02	-1.5019208	8.8002825
293T_TFF1_DNA_Pool-1_2E:O0:98:11	2.2213066	8.8666115
293T_TFF1_DNA_Pool-1_2E:O7:54:02	-0.45339066	9.262294
293T_TFF1_DNA_Pool-1_2E:P6:O6:02	-0.9995693	10.589979
293T_TFF1_DNA_Pool-1_2E:Q4:06:02	-0.54760003	10.219302
293T_TFF1_DNA_Pool-1_2E:Q8:81:09	1.6207107	10.479033
293T_TFF1_DNA_Pool-1_2E:R1:14:09	-1.8981953	7.437295
293T_TFF1_DNA_Pool-1_2E:R1:46:02	0.71074355	10.405715
293T_TFF1_DNA_Pool-1_2E:R1:E2:09	-0.058159035	5.9040112
293T_TFF1_DNA_Pool-1_2E:R1:F2:05	0.73133725	6.985888
293T_TFF1_DNA_Pool-1_2E:S7:45:11	-0.13597049	8.350579
293T_TFF1_DNA_Pool-1_2E:S7:81:10	-2.1316211	6.647448
293T_TFF1_DNA_Pool-1_2E:S7:84:02	-0.52032876	7.359723
293T_TFF1_DNA_Pool-1_2E:S7:V3:02	-0.7567085	7.552584
293T_TFF1_DNA_Pool-1_2E:S7:Y2:05	-2.5698826	6.870484
293T_TFF1_DNA_Pool-1_2E:S8:E1:02	1.6275702	9.489191
293T_TFF1_DNA_Pool-1_2E:S8:K5:12	0.85748917	7.3559217
293T_TFF1_DNA_Pool-1_2E:S8:T8:12	-1.6484687	6.7742295
293T_TFF1_DNA_Pool-1_2E:T1:S9:02	-1.1495141	8.754751
293T_TFF1_DNA_Pool-1_2E:T2:Y5:04	-1.3540498	9.18283
293T_TFF1_DNA_Pool-1_2E:U4:J6:04	-2.7995317	8.552879
293T_TFF1_DNA_Pool-1_2E:U8:H8:05	-0.14922045	8.29829
293T_TFF1_DNA_Pool-1_2E:V2:E6:12	-0.22341682	11.233913
293T_TFF1_DNA_Pool-1_2E:V5:E2:02	0.34220305	8.358624
293T_TFF1_DNA_Pool-1_2E:V9:D0:05	-1.0194257	11.067531
293T_TFF1_DNA_Pool-1_2E:V9:G4:02	1.021506	9.512208
293T_TFF1_DNA_Pool-1_2E:W8:97:02	-1.5152043	9.165404
293T_TFF1_DNA_Pool-1_2E:W8:E2:02	-1.8780677	8.667584
293T_TFF1_DNA_Pool-1_2E:W8:G4:12	-1.0933838	9.748921
293T_TFF1_DNA_Pool-1_2E:X5:37:02	0.3487427	6.8439293
293T_TFF1_DNA_Pool-1_2E:X5:41:12	-1.4075868	5.823499
293T_TFF1_DNA_Pool-1_2E:X5:B2:02	1.3450022	6.903871
293T_TFF1_DNA_Pool-1_2E:X5:E6:09	1.7973381	9.661072
293T_TFF1_DNA_Pool-1_2E:X5:M8:12	-0.1621426	8.733099
293T_TFF1_DNA_Pool-1_2E:X5:R4:02	2.6096444	8.288977
293T_TFF1_DNA_Pool-1_2E:X5:T7:02	-0.7021575	7.1414304
293T_TFF1_DNA_Pool-1_2E:X5:X7:09	0.8035581	10.232085
293T_TFF1_DNA_Pool-1_2E:X5:Y6:05	0.49550876	9.660383
293T_TFF1_DNA_Pool-1_2D:03:M4:05	1.1623539	7.9334517
293T_TFF1_DNA_Pool-1_2D:04:Y6:05	-2.5120924	7.6401076
293T_TFF1_DNA_Pool-1_2D:08:94:03	-2.2372332	7.650548
293T_TFF1_DNA_Pool-1_2D:0H:0N:04	-0.6110135	7.266338
293T_TFF1_DNA_Pool-1_2D:0H:I2:04	1.4819448	6.5398335
293T_TFF1_DNA_Pool-1_2D:0Q:T4:07	-0.3822073	8.516062
293T_TFF1_DNA_Pool-1_2D:0X:08:03	-1.721474	8.12404
293T_TFF1_DNA_Pool-1_2D:0X:14:07	-1.525781	9.343301
293T_TFF1_DNA_Pool-1_2D:0X:E8:09	-0.6965281	9.34744
293T_TFF1_DNA_Pool-1_2D:0X:L0:05	-0.85519433	9.627337
293T_TFF1_DNA_Pool-1_2D:0X:N0:02	0.2690183	9.184572
293T_TFF1_DNA_Pool-1_2D:0X:N3:10	-1.523868	9.573115
293T_TFF1_DNA_Pool-1_2D:0X:W6:04	-1.5027741	9.4132
293T_TFF1_DNA_Pool-1_2D:0X:X7:04	1.2986833	6.764659
293T_TFF1_DNA_Pool-1_2D:0Y:H0:06	-1.708774	6.9978137
293T_TFF1_DNA_Pool-1_2D:0Y:J6:08	-0.27542397	6.57563
293T_TFF1_DNA_Pool-1_2D:0Y:L7:07	-0.12283485	7.4926786
293T_TFF1_DNA_Pool-1_2D:0Y:X3:07	-1.7890048	9.043686
293T_TFF1_DNA_Pool-1_2D:0Y:Y6:07	-0.86942166	8.130574
293T_TFF1_DNA_Pool-1_2D:11:50:07	-1.3085063	6.1315928
293T_TFF1_DNA_Pool-1_2D:12:E1:07	0.78399795	8.003448
293T_TFF1_DNA_Pool-1_2D:19:J0:07	-2.036501	9.2558775
293T_TFF1_DNA_Pool-1_2D:20:B2:07	-2.8739896	8.110633
293T_TFF1_DNA_Pool-1_2D:24:Y1:01	-2.2978861	7.5932293
293T_TFF1_DNA_Pool-1_2D:31:Y5:04	-0.056190632	9.206195
293T_TFF1_DNA_Pool-1_2D:39:G4:04	-0.502452	5.6919956
293T_TFF1_DNA_Pool-1_2D:39:N0:07	1.8819017	8.566268
293T_TFF1_DNA_Pool-1_2D:39:T7:04	0.19179054	9.110093
293T_TFF1_DNA_Pool-1_2D:40:G4:04	0.38411373	9.661668
293T_TFF1_DNA_Pool-1_2D:47:08:03	-1.1781743	7.2446184
293T_TFF1_DNA_Pool-1_2D:47:24:09	1.4436277	9.666228
293T_TFF1_DNA_Pool-1_2D:47:D4:07	1.3986193	7.0223746
293T_TFF1_DNA_Pool-1_2D:51:46:03	0.9155895	7.300446
293T_TFF1_DNA_Pool-1_2D:51:T4:12	-2.8281226	8.629184
293T_TFF1_DNA_Pool-1_2D:64:18:11	0.10717199	10.680392
293T_TFF1_DNA_Pool-1_2D:67:F6:03	-0.6527543	10.557967
293T_TFF1_DNA_Pool-1_2D:68:J0:04	0.7542959	8.025005
293T_TFF1_DNA_Pool-1_2D:68:M4:07	-1.1010212	8.991353
293T_TFF1_DNA_Pool-1_2D:71:T4:03	-0.42278183	9.138777
293T_TFF1_DNA_Pool-1_2D:79:E2:07	-0.27491522	7.654925
293T_TFF1_DNA_Pool-1_2D:95:08:03	0.9818123	8.733072
293T_TFF1_DNA_Pool-1_2D:95:0N:04	-0.39428297	8.903729
293T_TFF1_DNA_Pool-1_2D:99:E1:04	-1.5451009	7.34927
293T_TFF1_DNA_Pool-1_2D:B5:09:09	0.057714034	9.898206
293T_TFF1_DNA_Pool-1_2D:B5:N0:04	0.16105814	7.367643
293T_TFF1_DNA_Pool-1_2D:B5:S1:04	-1.4546038	7.6874623
293T_TFF1_DNA_Pool-1_2D:B5:U5:10	2.5041652	9.249933
293T_TFF1_DNA_Pool-1_2D:B5:X7:04	1.6460409	9.630154
293T_TFF1_DNA_Pool-1_2D:B5:Y1:03	-0.9251975	10.653001
293T_TFF1_DNA_Pool-1_2D:B6:M1:12	-0.29684472	10.286813
293T_TFF1_DNA_Pool-1_2D:B6:T7:04	1.0274042	8.188451
293T_TFF1_DNA_Pool-1_2D:E3:Z8:07	0.38454393	10.213518
293T_TFF1_DNA_Pool-1_2D:E4:C4:12	-2.039159	9.313003
293T_TFF1_DNA_Pool-1_2D:E4:G0:04	1.6754572	8.175091
293T_TFF1_DNA_Pool-1_2D:E7:84:07	2.3489935	8.6939
293T_TFF1_DNA_Pool-1_2D:F1:J0:07	-2.6023228	9.065385
293T_TFF1_DNA_Pool-1_2D:F1:T4:07	1.205523	8.660303
293T_TFF1_DNA_Pool-1_2D:F2:O1:12	0.90968424	8.140285
293T_TFF1_DNA_Pool-1_2D:F2:Q1:04	0.2880472	8.006875
293T_TFF1_DNA_Pool-1_2D:F6:E2:03	1.3042356	9.357973
293T_TFF1_DNA_Pool-1_2D:F9:E6:07	0.07595342	10.631285
293T_TFF1_DNA_Pool-1_2D:F9:T7:04	1.1286899	9.419491
293T_TFF1_DNA_Pool-1_2D:G3:56:04	0.22562134	10.408789
293T_TFF1_DNA_Pool-1_2D:G8:E2:07	2.5239916	7.5687127
293T_TFF1_DNA_Pool-1_2D:H1:41:07	-1.4980382	6.156812
293T_TFF1_DNA_Pool-1_2D:H2:E2:03	-2.5608435	7.137538
293T_TFF1_DNA_Pool-1_2D:H9:J6:01	2.3282716	8.308531
293T_TFF1_DNA_Pool-1_2D:I3:X3:04	-1.5072485	6.8226113
293T_TFF1_DNA_Pool-1_2D:I4:P0:07	1.0827512	8.903088
293T_TFF1_DNA_Pool-1_2D:J1:34:04	0.4574067	8.019234
293T_TFF1_DNA_Pool-1_2D:J1:54:07	-1.2820851	7.362532
293T_TFF1_DNA_Pool-1_2D:J1:B8:03	0.542908	7.4994183
293T_TFF1_DNA_Pool-1_2D:J1:J0:12	1.6240063	8.671904
293T_TFF1_DNA_Pool-1_2D:J1:L7:07	0.5808069	6.041191
293T_TFF1_DNA_Pool-1_2D:J2:26:02	0.9657077	9.756582
293T_TFF1_DNA_Pool-1_2D:K0:J0:07	-1.8135943	8.183133
293T_TFF1_DNA_Pool-1_2D:K7:T7:04	-1.8989319	9.100503
293T_TFF1_DNA_Pool-1_2D:K7:X7:04	1.188719	8.606368
293T_TFF1_DNA_Pool-1_2D:K8:Q8:04	-0.6168797	10.796867
293T_TFF1_DNA_Pool-1_2D:K8:Y5:04	-1.1466271	6.2125645
293T_TFF1_DNA_Pool-1_2D:M0:T7:04	-0.7648767	5.9527764
293T_TFF1_DNA_Pool-1_2D:N6:0O:07	0.9024711	6.1041565
293T_TFF1_DNA_Pool-1_2D:N6:E2:08	-0.3151588	8.274673
293T_TFF1_DNA_Pool-1_2D:N9:0N:04	0.009105409	8.065453
293T_TFF1_DNA_Pool-1_2D:N9:17:03	-0.049527403	8.887658
293T_TFF1_DNA_Pool-1_2D:N9:G0:06	-1.3891976	6.3347254
293T_TFF1_DNA_Pool-1_2D:N9:G9:12	-1.2032716	7.371363
293T_TFF1_DNA_Pool-1_2D:N9:I9:04	-0.17840034	10.549699
293T_TFF1_DNA_Pool-1_2D:O4:84:07	-0.1497909	8.180395
293T_TFF1_DNA_Pool-1_2D:O4:O5:04	-2.8358705	8.081966
293T_TFF1_DNA_Pool-1_2D:P2:T4:03	0.25630665	6.3161855
293T_TFF1_DNA_Pool-1_2D:P9:F2:07	0.6605544	7.0492535
293T_TFF1_DNA_Pool-1_2D:P9:T0:02	-0.7581309	10.707371
293T_TFF1_DNA_Pool-1_2D:Q0:24:09	-0.61963665	11.104171
293T_TFF1_DNA_Pool-1_2D:Q0:N8:07	-0.44302896	8.177278
293T_TFF1_DNA_Pool-1_2D:R6:0R:11	-1.4548655	6.3281255
293T_TFF1_DNA_Pool-1_2D:S7:45:11	-0.87196803	8.502726
293T_TFF1_DNA_Pool-1_2D:S7:81:10	1.0624644	10.477976
293T_TFF1_DNA_Pool-1_2D:S7:J0:07	1.1578277	8.719963
293T_TFF1_DNA_Pool-1_2D:S7:P3:07	1.3172295	8.745602
293T_TFF1_DNA_Pool-1_2D:S7:U6:07	-1.5069234	7.845448
293T_TFF1_DNA_Pool-1_2D:S7:Y1:04	-2.4684503	8.668303
293T_TFF1_DNA_Pool-1_2D:S8:34:07	-1.3728237	8.086951
293T_TFF1_DNA_Pool-1_2D:S8:54:03	-2.2263415	8.353031
293T_TFF1_DNA_Pool-1_2D:U3:B6:07	1.5139995	7.3730974
293T_TFF1_DNA_Pool-1_2D:U3:S1:04	-0.5270687	9.417945
293T_TFF1_DNA_Pool-1_2D:U3:X7:07	0.1984331	9.668454
293T_TFF1_DNA_Pool-1_2D:U4:E2:03	-0.7569107	6.693265
293T_TFF1_DNA_Pool-1_2D:U4:N7:02	0.84968483	8.867063
293T_TFF1_DNA_Pool-1_2D:U4:T7:04	0.53505677	9.092857
293T_TFF1_DNA_Pool-1_2D:U7:0W:07	-0.7746677	9.819876
293T_TFF1_DNA_Pool-1_2D:V5:K5:04	0.7243229	8.46354
293T_TFF1_DNA_Pool-1_2D:W8:F8:07	-1.3805771	6.6155567
293T_TFF1_DNA_Pool-1_2D:X5:08:07	-0.70829916	8.260039
293T_TFF1_DNA_Pool-1_2D:X5:0N:04	0.21663521	8.983574
293T_TFF1_DNA_Pool-1_2D:X5:0R:03	0.18985546	8.404554
293T_TFF1_DNA_Pool-1_2D:X5:66:04	-2.0274973	6.7644925
293T_TFF1_DNA_Pool-1_2D:X5:72:04	-0.08455513	7.61613
293T_TFF1_DNA_Pool-1_2D:X5:B8:04	-0.18177171	10.4708
293T_TFF1_DNA_Pool-1_2D:X5:H8:10	-0.50254846	8.084316
293T_TFF1_DNA_Pool-1_2D:X5:K4:04	0.20117635	7.0130777
293T_TFF1_DNA_Pool-1_2D:X5:L4:04	-0.4299109	10.158323
293T_TFF1_DNA_Pool-1_2D:X5:N0:07	0.046466727	10.117347
293T_TFF1_DNA_Pool-1_2D:X6:T2:03	1.0655655	6.9782877
293T_TFF1_DNA_Pool-1_2D:Y3:B6:07	-1.4124172	7.6744976
293T_TFF1_DNA_Pool-1_2D:Z2:84:04	0.85548586	7.41819
293T_TFF1_DNA_Pool-1_2D:Z2:J6:04	0.45104352	8.580412
293T_TFF1_DNA_Pool-1_2D:Z2:X8:07	0.92950284	9.457162
293T_TFF1_DNA_Pool-1_2D:Z6:94:03	1.0167218	6.3851933
293T_TFF1_DNA_Pool-1_2C:08:L8:08	2.299681	9.206339
293T_TFF1_DNA_Pool-1_2C:0A:Q6:05	-0.9502741	8.130063
293T_TFF1_DNA_Pool-1_2C:0E:E2:07	-1.1215177	9.514759
293T_TFF1_DNA_Pool-1_2C:0E:H4:05	1.0236018	7.546099
293T_TFF1_DNA_Pool-1_2C:0P:41:05	0.016220242	7.562187
293T_TFF1_DNA_Pool-1_2C:0T:Y5:01	-2.6780589	9.421872
293T_TFF1_DNA_Pool-1_2C:0X:14:12	1.643731	9.713499
293T_TFF1_DNA_Pool-1_2C:0X:81:10	1.745941	10.432574
293T_TFF1_DNA_Pool-1_2C:0X:G0:01	0.24484235	10.962738
293T_TFF1_DNA_Pool-1_2C:0X:N7:01	1.373476	8.943051
293T_TFF1_DNA_Pool-1_2C:0X:T7:04	-0.88832873	10.363106
293T_TFF1_DNA_Pool-1_2C:0Y:0W:05	-0.588754	8.538405
293T_TFF1_DNA_Pool-1_2C:0Y:A6:11	0.65185916	7.702455
293T_TFF1_DNA_Pool-1_2C:0Y:B0:05	-1.3812593	8.781223
293T_TFF1_DNA_Pool-1_2C:0Y:J6:08	0.32408586	7.84634
293T_TFF1_DNA_Pool-1_2C:0Y:T2:05	0.25593147	8.538811
293T_TFF1_DNA_Pool-1_2C:12:U5:05	-0.42216992	10.09068
293T_TFF1_DNA_Pool-1_2C:23:L4:10	0.045098595	7.807883
293T_TFF1_DNA_Pool-1_2C:28:I1:05	-0.39133632	9.013121
293T_TFF1_DNA_Pool-1_2C:39:56:05	1.3629786	8.436457
293T_TFF1_DNA_Pool-1_2C:47:M8:05	1.8103255	6.7667794
293T_TFF1_DNA_Pool-1_2C:47:S6:08	-1.3849237	10.458063
293T_TFF1_DNA_Pool-1_2C:71:76:05	-0.70741856	9.247663
293T_TFF1_DNA_Pool-1_2C:72:A0:09	-1.2171664	9.712741
293T_TFF1_DNA_Pool-1_2C:72:T7:05	0.821489	7.7191386
293T_TFF1_DNA_Pool-1_2C:76:F3:05	1.816773	6.7593656
293T_TFF1_DNA_Pool-1_2C:83:14:12	-0.7456824	10.483216
293T_TFF1_DNA_Pool-1_2C:83:78:12	0.012042803	9.2356825
293T_TFF1_DNA_Pool-1_2C:91:81:10	-0.2686375	9.7752905
293T_TFF1_DNA_Pool-1_2C:92:V0:08	-0.22962466	9.950476
293T_TFF1_DNA_Pool-1_2C:92:Y1:10	0.46516907	6.924396
293T_TFF1_DNA_Pool-1_2C:95:24:05	1.5627973	8.2443
293T_TFF1_DNA_Pool-1_2C:95:K2:05	0.867707	8.129308
293T_TFF1_DNA_Pool-1_2C:95:Y2:10	1.2706232	8.331156
293T_TFF1_DNA_Pool-1_2C:95:Z2:05	0.3614714	8.243425
293T_TFF1_DNA_Pool-1_2C:96:C8:01	-1.303229	9.234193
293T_TFF1_DNA_Pool-1_2C:99:E9:08	0.8650502	8.719445
293T_TFF1_DNA_Pool-1_2C:E3:81:10	-0.19737685	7.3638616
293T_TFF1_DNA_Pool-1_2C:E3:84:09	1.3422997	6.6925654
293T_TFF1_DNA_Pool-1_2C:E3:D4:01	1.8009958	7.1493363
293T_TFF1_DNA_Pool-1_2C:E3:F3:05	0.111997984	6.8517966
293T_TFF1_DNA_Pool-1_2C:E3:M8:05	-0.9050075	8.374894
293T_TFF1_DNA_Pool-1_2C:E4:S9:08	0.2889161	8.805416
293T_TFF1_DNA_Pool-1_2C:F2:14:12	-1.1523843	7.400324
293T_TFF1_DNA_Pool-1_2C:F2:N8:10	2.0885532	8.540583
293T_TFF1_DNA_Pool-1_2C:F7:14:12	-0.33872703	9.456346
293T_TFF1_DNA_Pool-1_2C:G0:R7:05	1.4140075	6.778059
293T_TFF1_DNA_Pool-1_2C:H2:K5:05	2.2657313	8.06706
293T_TFF1_DNA_Pool-1_2C:I4:Q8:05	0.30736282	7.935177
293T_TFF1_DNA_Pool-1_2C:J1:B2:02	-3.1124861	9.496248
293T_TFF1_DNA_Pool-1_2C:K7:M0:05	0.4600283	5.6868367
293T_TFF1_DNA_Pool-1_2C:M3:F8:05	-1.4233284	7.7072563
293T_TFF1_DNA_Pool-1_2C:M4:W6:04	-0.85531676	9.496697
293T_TFF1_DNA_Pool-1_2C:N9:46:05	0.119494915	10.771117
293T_TFF1_DNA_Pool-1_2C:N9:J6:05	-1.9591116	7.2548423
293T_TFF1_DNA_Pool-1_2C:N9:P3:05	2.2958288	8.605451
293T_TFF1_DNA_Pool-1_2C:O7:54:05	-1.9248239	7.1938777
293T_TFF1_DNA_Pool-1_2C:O7:54:07	0.39208952	8.254985
