	UMAP1	UMAP2
293T_TFF1_DNA_Pool-1_1E:T5:08:08	-0.81433326	8.073466
293T_TFF1_DNA_Pool-1_1E:U0:I9:11	2.0371497	9.760361
293T_TFF1_DNA_Pool-1_1E:U3:25:06	1.4814274	8.455267
293T_TFF1_DNA_Pool-1_1E:U4:46:03	1.0202291	9.480237
293T_TFF1_DNA_Pool-1_1E:U4:V3:09	-1.4332998	8.180763
293T_TFF1_DNA_Pool-1_1E:U8:56:12	-0.32517415	6.724602
293T_TFF1_DNA_Pool-1_1E:U8:77:12	-0.8929322	8.777485
293T_TFF1_DNA_Pool-1_1E:V6:H0:12	-2.4652576	7.8045278
293T_TFF1_DNA_Pool-1_1E:W0:K2:08	-0.86669695	9.070837
293T_TFF1_DNA_Pool-1_1E:W8:Q4:02	-1.2075837	8.562283
293T_TFF1_DNA_Pool-1_1E:X5:0J:07	0.26560092	8.494618
293T_TFF1_DNA_Pool-1_1E:X5:S6:12	1.4192191	9.01865
293T_TFF1_DNA_Pool-1_1E:X5:T8:12	0.03204379	5.775302
293T_TFF1_DNA_Pool-1_1E:X6:U6:07	-0.25073263	9.961309
293T_TFF1_DNA_Pool-1_1E:Z5:P3:07	1.4570833	6.8401384
293T_TFF1_DNA_Pool-1_1D:0A:33:03	-1.2258886	9.416158
293T_TFF1_DNA_Pool-1_1D:0I:0A:07	-1.1519545	8.86524
293T_TFF1_DNA_Pool-1_1D:0I:28:03	0.09611538	9.690239
293T_TFF1_DNA_Pool-1_1D:0I:N8:07	-1.2449815	9.920423
293T_TFF1_DNA_Pool-1_1D:0P:54:07	-0.27711946	6.3470707
293T_TFF1_DNA_Pool-1_1D:0Q:G0:07	-0.32424793	8.003386
293T_TFF1_DNA_Pool-1_1D:0Q:N3:07	-0.55628026	6.4275036
293T_TFF1_DNA_Pool-1_1D:0Q:Y2:02	-0.5208187	9.929614
293T_TFF1_DNA_Pool-1_1D:0T:0F:07	0.15648916	9.278491
293T_TFF1_DNA_Pool-1_1D:0T:B6:07	-2.0241554	6.658531
293T_TFF1_DNA_Pool-1_1D:0T:T0:07	-1.5173194	10.201975
293T_TFF1_DNA_Pool-1_1D:0T:X8:03	-2.3783298	8.054436
293T_TFF1_DNA_Pool-1_1D:0U:T4:12	1.1688455	10.503507
293T_TFF1_DNA_Pool-1_1D:0X:0I:12	-0.41793144	7.5822644
293T_TFF1_DNA_Pool-1_1D:0X:61:12	-0.5626715	8.163253
293T_TFF1_DNA_Pool-1_1D:0X:A6:07	0.78054416	6.043036
293T_TFF1_DNA_Pool-1_1D:0X:I2:07	-1.1794771	10.339026
293T_TFF1_DNA_Pool-1_1D:0X:O5:12	-2.7821848	7.3715906
293T_TFF1_DNA_Pool-1_1D:0X:T2:03	-1.6836771	8.553504
293T_TFF1_DNA_Pool-1_1D:0X:X3:07	1.6302025	9.074347
293T_TFF1_DNA_Pool-1_1D:0X:Y2:02	0.3953657	7.6145506
293T_TFF1_DNA_Pool-1_1D:0X:Y2:12	-2.3771665	9.347012
293T_TFF1_DNA_Pool-1_1D:0Y:0N:07	-0.5132735	8.286635
293T_TFF1_DNA_Pool-1_1D:0Y:0O:11	1.5357672	9.444374
293T_TFF1_DNA_Pool-1_1D:0Y:24:12	-0.17589445	11.256637
