tf	n_bins	n_cells	raw_nnz	impute_nnz	r_bin_totals	r_cell_totals	r_bin_totals_profile	profile_scope	n_profile_bins	r_per_cell_n	r_per_cell_median	r_per_cell_mean	r_per_bin_n	r_per_bin_median	r_per_bin_mean
ctcf	3031053	10410	768200	4058391	0.283662	0.720805	0.296652	final_posneg	25610	3567	1	0.947921	5146	1	0.863934
maz	3031053	3968	694537	6120622	0.238123	0.666016	0.237855	final_posneg	25610	1509	1	0.946288	4830	1	0.801246
nfya	3031053	70292	5967078	31672650	0.433121	0.614662	0.546817	final_posneg	24672	20110	1	0.981434	17883	0.577309	0.634123
zbtb7a	3031053	7005	952710	5668011	0.212596	0.699618	0.189178	final_posneg	19312	2224	1	0.918004	4747	1	0.817317
zic2	3031053	4896	691113	3865105	0.225077	0.538759	0.197375	final_posneg	25610	1767	1	0.937996	4924	0.816413	0.80098
znf768	3031053	5837	389259	1535170	0.170238	0.845397	0.105083	final_posneg	16756	1512	1	0.882787	1989	1	0.967597
znf777	3031053	3400	333172	2839138	0.176762	0.684701	0.182675	final_posneg	14760	727	1	0.893668	1336	1	0.873575
znf282	3031053	2959	398713	1783493	0.344441	0.602981	0.29787	final_posneg	17030	914	1	0.969615	2071	0.816359	0.842023
