input	kind	barcode	threshold	raw_complexity	imp_complexity	gain
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:N9:E2:07	283.639	177	0	-177
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:N9:W2:11	283.639	16	7	-9
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:O7:0W:03	283.639	17	55	38
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:O7:93:12	283.639	10	26	16
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:O7:A6:01	283.639	6	2	-4
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:Q0:P8:09	283.639	17	47	30
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:Q4:O1:12	283.639	12	3	-9
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:Q8:E2:10	283.639	20	24	4
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:S7:A0:12	283.639	89	5	-84
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:S8:A0:11	283.639	6	107	101
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:S8:D4:11	283.639	21	9	-12
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:T1:H2:09	283.639	30	3	-27
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:T5:08:08	283.639	22	8	-14
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:U0:I9:11	283.639	7	22	15
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:U4:46:03	283.639	39	5	-34
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:U4:V3:09	283.639	18	7	-11
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:U8:56:12	283.639	8	19	11
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:U8:77:12	283.639	408	0	-408
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:V6:H0:12	283.639	15	25	10
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:W0:K2:08	283.639	9	13	4
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:W8:Q4:02	283.639	14	46	32
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:X5:0J:07	283.639	18	31	13
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:X5:S6:12	283.639	22	3	-19
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:X5:T8:12	283.639	105	5	-100
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:X6:U6:07	283.639	9	2	-7
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:Z5:P3:07	283.639	10	0	-10
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0A:33:03	283.639	10	42	32
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0I:0A:07	283.639	6	6	0
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0I:28:03	283.639	10	10	0
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0I:N8:07	283.639	7	56	49
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0P:54:07	283.639	19	45	26
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0Q:G0:07	283.639	11	51	40
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0Q:N3:07	283.639	85	7	-78
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0Q:Y2:02	283.639	22	23	1
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0T:0F:07	283.639	10	3	-7
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0T:B6:07	283.639	10	13	3
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0T:T0:07	283.639	11	1	-10
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0T:X8:03	283.639	12	0	-12
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0U:T4:12	283.639	20	18	-2
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0X:0I:12	283.639	30	20	-10
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0X:61:12	283.639	11	19	8
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0X:A6:07	283.639	17	106	89
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0X:I2:07	283.639	12	95	83
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0X:O5:12	283.639	19	16	-3
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0X:T2:03	283.639	93	3	-90
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0X:X3:07	283.639	18	14	-4
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0X:Y2:02	283.639	83	25	-58
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0X:Y2:12	283.639	10	9	-1
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0Y:0N:07	283.639	13	24	11
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0Y:0O:11	283.639	35	27	-8
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0Y:24:12	283.639	13	3	-10
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0Y:25:07	283.639	17	39	22
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0Y:61:07	283.639	27	48	21
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0Y:E8:07	283.639	13	8	-5
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0Y:I2:07	283.639	11	9	-2
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0Y:J8:07	283.639	20	51	31
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0Y:O2:03	283.639	26	30	4
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0Y:O6:03	283.639	104	7	-97
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0Y:T0:03	283.639	174	0	-174
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0Y:T0:12	283.639	41	13	-28
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:0Y:Y2:02	283.639	84	106	22
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:12:F2:07	283.639	56	2	-54
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:12:R2:07	283.639	34	4	-30
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:15:F3:04	283.639	7	4	-3
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:19:54:07	283.639	54	1	-53
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:24:34:12	283.639	7	10	3
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:24:54:12	283.639	5	0	-5
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:24:E1:07	283.639	8	15	7
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:24:Y2:02	283.639	28	16	-12
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:27:Y6:07	283.639	7	26	19
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:32:R4:07	283.639	6	6	0
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:36:F2:07	283.639	29	48	19
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:36:T4:07	283.639	12	0	-12
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:36:Z3:07	283.639	15	27	12
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:39:A6:02	283.639	16	17	1
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:39:O1:06	283.639	9	1	-8
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:43:F2:07	283.639	38	26	-12
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:43:H8:07	283.639	8	18	10
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:47:76:02	283.639	15	97	82
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:47:B6:07	283.639	14	23	9
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:47:J3:01	283.639	21	10	-11
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:47:Q6:07	283.639	31	2	-29
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:47:Z6:07	283.639	7	43	36
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:51:41:07	283.639	13	106	93
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:51:A4:07	283.639	24	52	28
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:51:B0:07	283.639	153	2	-151
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:52:0J:03	283.639	26	32	6
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:52:0J:07	283.639	10	47	37
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:52:K5:07	283.639	157	2	-155
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:52:S5:07	283.639	13	47	34
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:56:F2:03	283.639	10	259	249
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:60:Y1:07	283.639	8	5	-3
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:63:L6:03	283.639	9	12	3
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:63:M4:07	283.639	8	18	10
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:64:I0:07	283.639	8	55	47
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:64:Q8:07	283.639	11	17	6
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:68:F2:07	283.639	35	9	-26
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:68:Y2:02	283.639	22	10	-12
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:72:W2:03	283.639	17	47	30
