input	kind	barcode	umi_total
raw	mm	293T_TFF1_DNA_Pool-1_1E:W0:K2:08	25
raw	mm	293T_TFF1_DNA_Pool-1_1E:W8:Q4:02	31
raw	mm	293T_TFF1_DNA_Pool-1_1E:X5:0J:07	41
raw	mm	293T_TFF1_DNA_Pool-1_1E:X5:S6:12	53
raw	mm	293T_TFF1_DNA_Pool-1_1E:X5:T8:12	300
raw	mm	293T_TFF1_DNA_Pool-1_1E:X6:U6:07	26
raw	mm	293T_TFF1_DNA_Pool-1_1E:Z5:P3:07	22
raw	mm	293T_TFF1_DNA_Pool-1_1D:0A:33:03	20
raw	mm	293T_TFF1_DNA_Pool-1_1D:0I:0A:07	22
raw	mm	293T_TFF1_DNA_Pool-1_1D:0I:28:03	35
raw	mm	293T_TFF1_DNA_Pool-1_1D:0I:N8:07	24
raw	mm	293T_TFF1_DNA_Pool-1_1D:0P:54:07	46
raw	mm	293T_TFF1_DNA_Pool-1_1D:0Q:G0:07	32
raw	mm	293T_TFF1_DNA_Pool-1_1D:0Q:N3:07	232
raw	mm	293T_TFF1_DNA_Pool-1_1D:0Q:Y2:02	58
raw	mm	293T_TFF1_DNA_Pool-1_1D:0T:0F:07	22
raw	mm	293T_TFF1_DNA_Pool-1_1D:0T:B6:07	20
raw	mm	293T_TFF1_DNA_Pool-1_1D:0T:T0:07	44
raw	mm	293T_TFF1_DNA_Pool-1_1D:0T:X8:03	24
raw	mm	293T_TFF1_DNA_Pool-1_1D:0U:T4:12	41
raw	mm	293T_TFF1_DNA_Pool-1_1D:0X:0I:12	72
raw	mm	293T_TFF1_DNA_Pool-1_1D:0X:61:12	26
raw	mm	293T_TFF1_DNA_Pool-1_1D:0X:A6:07	37
raw	mm	293T_TFF1_DNA_Pool-1_1D:0X:I2:07	31
raw	mm	293T_TFF1_DNA_Pool-1_1D:0X:O5:12	44
raw	mm	293T_TFF1_DNA_Pool-1_1D:0X:T2:03	228
raw	mm	293T_TFF1_DNA_Pool-1_1D:0X:X3:07	53
raw	mm	293T_TFF1_DNA_Pool-1_1D:0X:Y2:02	181
raw	mm	293T_TFF1_DNA_Pool-1_1D:0X:Y2:12	26
raw	mm	293T_TFF1_DNA_Pool-1_1D:0Y:0N:07	48
raw	mm	293T_TFF1_DNA_Pool-1_1D:0Y:0O:11	77
raw	mm	293T_TFF1_DNA_Pool-1_1D:0Y:24:12	35
raw	mm	293T_TFF1_DNA_Pool-1_1D:0Y:25:07	45
raw	mm	293T_TFF1_DNA_Pool-1_1D:0Y:61:07	90
raw	mm	293T_TFF1_DNA_Pool-1_1D:0Y:E8:07	40
raw	mm	293T_TFF1_DNA_Pool-1_1D:0Y:I2:07	30
raw	mm	293T_TFF1_DNA_Pool-1_1D:0Y:J8:07	74
raw	mm	293T_TFF1_DNA_Pool-1_1D:0Y:O2:03	68
raw	mm	293T_TFF1_DNA_Pool-1_1D:0Y:O6:03	276
raw	mm	293T_TFF1_DNA_Pool-1_1D:0Y:T0:03	453
raw	mm	293T_TFF1_DNA_Pool-1_1D:0Y:T0:12	122
raw	mm	293T_TFF1_DNA_Pool-1_1D:0Y:Y2:02	174
raw	mm	293T_TFF1_DNA_Pool-1_1D:12:F2:07	158
raw	mm	293T_TFF1_DNA_Pool-1_1D:12:R2:07	68
raw	mm	293T_TFF1_DNA_Pool-1_1D:15:F3:04	20
raw	mm	293T_TFF1_DNA_Pool-1_1D:19:54:07	148
raw	mm	293T_TFF1_DNA_Pool-1_1D:24:34:12	29
raw	mm	293T_TFF1_DNA_Pool-1_1D:24:54:12	20
raw	mm	293T_TFF1_DNA_Pool-1_1D:24:E1:07	27
raw	mm	293T_TFF1_DNA_Pool-1_1D:24:Y2:02	48
raw	mm	293T_TFF1_DNA_Pool-1_1D:27:Y6:07	21
raw	mm	293T_TFF1_DNA_Pool-1_1D:32:R4:07	21
raw	mm	293T_TFF1_DNA_Pool-1_1D:36:F2:07	70
raw	mm	293T_TFF1_DNA_Pool-1_1D:36:T4:07	26
raw	mm	293T_TFF1_DNA_Pool-1_1D:36:Z3:07	42
raw	mm	293T_TFF1_DNA_Pool-1_1D:39:A6:02	51
raw	mm	293T_TFF1_DNA_Pool-1_1D:39:O1:06	25
raw	mm	293T_TFF1_DNA_Pool-1_1D:43:F2:07	90
raw	mm	293T_TFF1_DNA_Pool-1_1D:43:H8:07	23
raw	mm	293T_TFF1_DNA_Pool-1_1D:47:76:02	29
raw	mm	293T_TFF1_DNA_Pool-1_1D:47:B6:07	46
raw	mm	293T_TFF1_DNA_Pool-1_1D:47:J3:01	47
raw	mm	293T_TFF1_DNA_Pool-1_1D:47:Q6:07	75
raw	mm	293T_TFF1_DNA_Pool-1_1D:47:Z6:07	24
raw	mm	293T_TFF1_DNA_Pool-1_1D:51:41:07	24
raw	mm	293T_TFF1_DNA_Pool-1_1D:51:A4:07	55
raw	mm	293T_TFF1_DNA_Pool-1_1D:51:B0:07	344
raw	mm	293T_TFF1_DNA_Pool-1_1D:52:0J:03	45
raw	mm	293T_TFF1_DNA_Pool-1_1D:52:0J:07	21
raw	mm	293T_TFF1_DNA_Pool-1_1D:52:K5:07	528
raw	mm	293T_TFF1_DNA_Pool-1_1D:52:S5:07	42
raw	mm	293T_TFF1_DNA_Pool-1_1D:56:F2:03	21
raw	mm	293T_TFF1_DNA_Pool-1_1D:60:Y1:07	30
raw	mm	293T_TFF1_DNA_Pool-1_1D:63:L6:03	28
raw	mm	293T_TFF1_DNA_Pool-1_1D:63:M4:07	30
raw	mm	293T_TFF1_DNA_Pool-1_1D:64:I0:07	22
raw	mm	293T_TFF1_DNA_Pool-1_1D:64:Q8:07	39
raw	mm	293T_TFF1_DNA_Pool-1_1D:68:F2:07	81
raw	mm	293T_TFF1_DNA_Pool-1_1D:68:Y2:02	51
raw	mm	293T_TFF1_DNA_Pool-1_1D:72:W2:03	35
raw	mm	293T_TFF1_DNA_Pool-1_1D:72:X7:03	125
raw	mm	293T_TFF1_DNA_Pool-1_1D:72:Y2:02	37
raw	mm	293T_TFF1_DNA_Pool-1_1D:83:T0:02	62
raw	mm	293T_TFF1_DNA_Pool-1_1D:83:T0:03	136
raw	mm	293T_TFF1_DNA_Pool-1_1D:87:B2:07	53
raw	mm	293T_TFF1_DNA_Pool-1_1D:91:54:07	29
raw	mm	293T_TFF1_DNA_Pool-1_1D:91:B2:07	33
raw	mm	293T_TFF1_DNA_Pool-1_1D:91:J6:07	79
raw	mm	293T_TFF1_DNA_Pool-1_1D:95:0N:12	39
raw	mm	293T_TFF1_DNA_Pool-1_1D:95:46:07	56
raw	mm	293T_TFF1_DNA_Pool-1_1D:95:61:07	59
raw	mm	293T_TFF1_DNA_Pool-1_1D:95:76:07	50
raw	mm	293T_TFF1_DNA_Pool-1_1D:95:78:03	32
raw	mm	293T_TFF1_DNA_Pool-1_1D:95:97:04	82
raw	mm	293T_TFF1_DNA_Pool-1_1D:95:F2:12	80
raw	mm	293T_TFF1_DNA_Pool-1_1D:95:F8:12	55
raw	mm	293T_TFF1_DNA_Pool-1_1D:95:G8:07	171
raw	mm	293T_TFF1_DNA_Pool-1_1D:95:L0:07	35
raw	mm	293T_TFF1_DNA_Pool-1_1D:95:Q5:12	276
raw	mm	293T_TFF1_DNA_Pool-1_1D:95:R4:07	41
raw	mm	293T_TFF1_DNA_Pool-1_1D:99:B6:12	42
raw	mm	293T_TFF1_DNA_Pool-1_1D:99:Q8:07	186
raw	mm	293T_TFF1_DNA_Pool-1_1D:A3:54:07	25
raw	mm	293T_TFF1_DNA_Pool-1_1D:A3:W0:03	54
raw	mm	293T_TFF1_DNA_Pool-1_1D:A4:90:03	30
raw	mm	293T_TFF1_DNA_Pool-1_1D:A7:90:12	25
raw	mm	293T_TFF1_DNA_Pool-1_1D:A7:P8:12	20
raw	mm	293T_TFF1_DNA_Pool-1_1D:A7:X8:07	59
raw	mm	293T_TFF1_DNA_Pool-1_1D:A8:X4:12	83
raw	mm	293T_TFF1_DNA_Pool-1_1D:B1:G4:07	35
raw	mm	293T_TFF1_DNA_Pool-1_1D:B1:Z3:07	60
raw	mm	293T_TFF1_DNA_Pool-1_1D:B2:F2:07	72
raw	mm	293T_TFF1_DNA_Pool-1_1D:B5:02:07	25
raw	mm	293T_TFF1_DNA_Pool-1_1D:B5:T0:07	62
raw	mm	293T_TFF1_DNA_Pool-1_1D:B5:T4:07	53
raw	mm	293T_TFF1_DNA_Pool-1_1D:B6:0I:12	22
raw	mm	293T_TFF1_DNA_Pool-1_1D:B6:25:03	20
raw	mm	293T_TFF1_DNA_Pool-1_1D:B6:Y2:02	55
raw	mm	293T_TFF1_DNA_Pool-1_1D:C0:B2:12	97
raw	mm	293T_TFF1_DNA_Pool-1_1D:C0:Y2:03	27
raw	mm	293T_TFF1_DNA_Pool-1_1D:C4:B2:12	79
raw	mm	293T_TFF1_DNA_Pool-1_1D:C7:58:07	32
raw	mm	293T_TFF1_DNA_Pool-1_1D:C7:Q8:07	68
raw	mm	293T_TFF1_DNA_Pool-1_1D:C8:S6:12	22
raw	mm	293T_TFF1_DNA_Pool-1_1D:D1:F2:07	172
raw	mm	293T_TFF1_DNA_Pool-1_1D:D2:28:07	26
raw	mm	293T_TFF1_DNA_Pool-1_1D:E0:Q0:03	30
raw	mm	293T_TFF1_DNA_Pool-1_1D:E3:17:07	34
raw	mm	293T_TFF1_DNA_Pool-1_1D:E3:28:07	96
raw	mm	293T_TFF1_DNA_Pool-1_1D:E3:G8:01	103
raw	mm	293T_TFF1_DNA_Pool-1_1D:E3:J8:07	59
raw	mm	293T_TFF1_DNA_Pool-1_1D:E3:T0:07	119
raw	mm	293T_TFF1_DNA_Pool-1_1D:E3:W2:07	116
raw	mm	293T_TFF1_DNA_Pool-1_1D:E4:T0:07	47
raw	mm	293T_TFF1_DNA_Pool-1_1D:E4:X3:12	32
raw	mm	293T_TFF1_DNA_Pool-1_1D:E7:54:07	22
raw	mm	293T_TFF1_DNA_Pool-1_1D:E7:Y2:02	33
raw	mm	293T_TFF1_DNA_Pool-1_1D:F1:37:07	41
raw	mm	293T_TFF1_DNA_Pool-1_1D:F1:T4:07	55
raw	mm	293T_TFF1_DNA_Pool-1_1D:F1:Y6:07	112
raw	mm	293T_TFF1_DNA_Pool-1_1D:F2:54:07	31
raw	mm	293T_TFF1_DNA_Pool-1_1D:F2:B6:07	24
raw	mm	293T_TFF1_DNA_Pool-1_1D:F2:F2:03	40
raw	mm	293T_TFF1_DNA_Pool-1_1D:F2:Y2:02	54
raw	mm	293T_TFF1_DNA_Pool-1_1D:F7:0F:07	41
raw	mm	293T_TFF1_DNA_Pool-1_1D:F7:F8:03	61
raw	mm	293T_TFF1_DNA_Pool-1_1D:F9:0R:07	71
raw	mm	293T_TFF1_DNA_Pool-1_1D:F9:24:07	41
raw	mm	293T_TFF1_DNA_Pool-1_1D:G4:T2:07	31
raw	mm	293T_TFF1_DNA_Pool-1_1D:G8:B2:07	21
raw	mm	293T_TFF1_DNA_Pool-1_1D:G8:E6:03	99
raw	mm	293T_TFF1_DNA_Pool-1_1D:G8:P8:07	25
raw	mm	293T_TFF1_DNA_Pool-1_1D:H2:54:12	21
raw	mm	293T_TFF1_DNA_Pool-1_1D:H2:J0:07	29
raw	mm	293T_TFF1_DNA_Pool-1_1D:H6:84:07	33
raw	mm	293T_TFF1_DNA_Pool-1_1D:H6:A4:07	52
raw	mm	293T_TFF1_DNA_Pool-1_1D:I4:B2:12	93
raw	mm	293T_TFF1_DNA_Pool-1_1D:I4:E2:03	72
raw	mm	293T_TFF1_DNA_Pool-1_1D:I4:H6:07	20
raw	mm	293T_TFF1_DNA_Pool-1_1D:I7:C8:03	43
raw	mm	293T_TFF1_DNA_Pool-1_1D:I8:93:03	25
raw	mm	293T_TFF1_DNA_Pool-1_1D:J1:93:07	41
raw	mm	293T_TFF1_DNA_Pool-1_1D:J1:A5:12	56
raw	mm	293T_TFF1_DNA_Pool-1_1D:J1:D4:07	28
raw	mm	293T_TFF1_DNA_Pool-1_1D:J1:F8:07	132
raw	mm	293T_TFF1_DNA_Pool-1_1D:J1:G9:12	24
raw	mm	293T_TFF1_DNA_Pool-1_1D:J1:Q4:12	25
raw	mm	293T_TFF1_DNA_Pool-1_1D:J1:R0:01	99
raw	mm	293T_TFF1_DNA_Pool-1_1D:J1:Y2:02	142
raw	mm	293T_TFF1_DNA_Pool-1_1D:K0:0F:04	31
raw	mm	293T_TFF1_DNA_Pool-1_1D:K0:X7:12	61
raw	mm	293T_TFF1_DNA_Pool-1_1D:K0:Y2:02	37
raw	mm	293T_TFF1_DNA_Pool-1_1D:K7:E6:07	26
raw	mm	293T_TFF1_DNA_Pool-1_1D:K7:F2:12	36
raw	mm	293T_TFF1_DNA_Pool-1_1D:K8:17:07	20
raw	mm	293T_TFF1_DNA_Pool-1_1D:L1:F2:07	91
raw	mm	293T_TFF1_DNA_Pool-1_1D:L2:66:07	25
raw	mm	293T_TFF1_DNA_Pool-1_1D:L2:M1:01	24
raw	mm	293T_TFF1_DNA_Pool-1_1D:L6:0I:07	29
raw	mm	293T_TFF1_DNA_Pool-1_1D:L6:S6:07	48
raw	mm	293T_TFF1_DNA_Pool-1_1D:L6:T2:12	35
raw	mm	293T_TFF1_DNA_Pool-1_1D:L9:C0:12	580
raw	mm	293T_TFF1_DNA_Pool-1_1D:M0:76:03	44
raw	mm	293T_TFF1_DNA_Pool-1_1D:M0:76:07	21
raw	mm	293T_TFF1_DNA_Pool-1_1D:M0:F2:07	93
raw	mm	293T_TFF1_DNA_Pool-1_1D:M0:J0:07	29
raw	mm	293T_TFF1_DNA_Pool-1_1D:M0:O6:07	21
raw	mm	293T_TFF1_DNA_Pool-1_1D:M0:Q8:07	39
raw	mm	293T_TFF1_DNA_Pool-1_1D:M3:N8:07	20
raw	mm	293T_TFF1_DNA_Pool-1_1D:M3:S9:07	22
raw	mm	293T_TFF1_DNA_Pool-1_1D:M3:Y2:02	63
raw	mm	293T_TFF1_DNA_Pool-1_1D:M4:97:07	112
raw	mm	293T_TFF1_DNA_Pool-1_1D:M4:Z3:07	59
raw	mm	293T_TFF1_DNA_Pool-1_1D:N2:K5:07	43
raw	mm	293T_TFF1_DNA_Pool-1_1D:N2:M8:07	20
raw	mm	293T_TFF1_DNA_Pool-1_1D:N5:A4:12	43
raw	mm	293T_TFF1_DNA_Pool-1_1D:N5:B2:07	24
raw	mm	293T_TFF1_DNA_Pool-1_1D:N5:F3:07	56
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:0N:07	62
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:0R:07	68
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:0W:03	51
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:46:07	53
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:84:12	69
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:A4:07	546
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:E6:07	148
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:F3:07	93
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:H6:03	76
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:M8:07	72
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:P3:04	23
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:Q8:07	204
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:T7:07	40
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:U5:08	32
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:W2:07	146
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:Y2:02	171
raw	mm	293T_TFF1_DNA_Pool-1_1D:N9:Z3:05	283
raw	mm	293T_TFF1_DNA_Pool-1_1D:O7:76:07	24
raw	mm	293T_TFF1_DNA_Pool-1_1D:O7:93:12	437
raw	mm	293T_TFF1_DNA_Pool-1_1D:O7:C8:12	31
raw	mm	293T_TFF1_DNA_Pool-1_1D:O7:I9:12	34
raw	mm	293T_TFF1_DNA_Pool-1_1D:O7:K1:07	36
raw	mm	293T_TFF1_DNA_Pool-1_1D:O7:L7:03	40
raw	mm	293T_TFF1_DNA_Pool-1_1D:O7:X8:12	29
raw	mm	293T_TFF1_DNA_Pool-1_1D:P5:A4:12	30
raw	mm	293T_TFF1_DNA_Pool-1_1D:P5:Y2:07	43
raw	mm	293T_TFF1_DNA_Pool-1_1D:P6:61:07	42
raw	mm	293T_TFF1_DNA_Pool-1_1D:Q0:N7:03	44
raw	mm	293T_TFF1_DNA_Pool-1_1D:Q0:X4:12	100
raw	mm	293T_TFF1_DNA_Pool-1_1D:Q3:F2:07	110
raw	mm	293T_TFF1_DNA_Pool-1_1D:Q3:Y2:02	54
raw	mm	293T_TFF1_DNA_Pool-1_1D:Q8:Y2:02	53
raw	mm	293T_TFF1_DNA_Pool-1_1D:R1:54:03	42
