barcode	raw	cisTopic	FITS	scOpen	MAGIC	PUscOpen	cicero	scbasset	scbasset_puscopen	scbasset_cistopic	scbasset_cistopic_puscopen
293T_TFF1_DNA_Pool-1_1E:I0:O2:10	33	1341.51	1.10201e+06	797135	758125	0	41.7217	33	43298	70	77
293T_TFF1_DNA_Pool-1_1E:I3:T0:03	31	23567.2	0	960806	883474	347780	38.1162	31	657795	601	652
293T_TFF1_DNA_Pool-1_1E:J1:13:10	87	31533.2	225027	1.28117e+06	855925	542781	106.181	87	547151	867	937
293T_TFF1_DNA_Pool-1_1E:J1:H0:11	74	12364.1	0	1.03144e+06	760782	11000.5	86.386	74	71464.6	426	461
293T_TFF1_DNA_Pool-1_1E:J1:L0:07	78	815.044	0	897924	680638	470564	90.8809	78	711097	101	108
293T_TFF1_DNA_Pool-1_1E:J1:U6:01	149	14044.5	0	1.46733e+06	4.38043e+06	2.43511e+06	162.225	149	1.51716e+06	491	527
293T_TFF1_DNA_Pool-1_1E:J2:G0:11	35	2508.17	1.69671e+06	1.06845e+06	763005	442269	42.1288	35	0	99	105
293T_TFF1_DNA_Pool-1_1E:K4:P3:12	21	2462.29	2.40766e+06	511829	715237	0	23.5264	21	0	85	90
293T_TFF1_DNA_Pool-1_1E:K7:0R:01	38	1871.61	1.72921e+06	1.2417e+06	933123	9.25383e+06	51.347	38	0	86	90
293T_TFF1_DNA_Pool-1_1E:K7:45:09	22	2097.16	288778	552596	19635.1	350671	23.7351	22	594942	79	85
293T_TFF1_DNA_Pool-1_1E:K7:E6:10	81	3099.25	1.36206e+06	686732	597556	336212	88.5005	81	158858	160	169
293T_TFF1_DNA_Pool-1_1E:K7:X3:12	44	5083.68	2.08888e+06	952568	815951	163456	49.5195	44	198378	181	196
293T_TFF1_DNA_Pool-1_1E:L1:M0:01	45	383.072	0	589988	643580	104235	48.8773	45	53712.1	56	59
293T_TFF1_DNA_Pool-1_1E:L5:H8:12	340	2978.9	1.35282e+06	2.30556e+06	4.09597e+06	1.76169e+06	387.124	340	3.61021e+06	413	437
293T_TFF1_DNA_Pool-1_1E:M3:N0:11	48	1690.61	1.13662e+06	1.03057e+06	790086	1.47724e+06	62.4949	48	237520	96	103
293T_TFF1_DNA_Pool-1_1E:M4:G8:01	37	2905.26	1.00842e+06	751618	824440	0	43.2108	37	88875.6	114	124
293T_TFF1_DNA_Pool-1_1E:M7:56:06	25	4674.8	1.54641e+06	452312	744338	0	27.8683	25	0	145	160
293T_TFF1_DNA_Pool-1_1E:M7:O2:12	36	2444	1.08036e+06	545598	799689	1.16109e-22	42.355	36	0	98	103
293T_TFF1_DNA_Pool-1_1E:N9:A5:10	43	7045.99	1.15949e+06	827921	784208	2.58274e+06	49.6725	43	79110.7	243	264
293T_TFF1_DNA_Pool-1_1E:N9:E2:07	509	6007.12	2.26697e+06	2.68015e+06	8.19792e+06	2.56379e+06	570.898	509	2.10727e+06	646	683
293T_TFF1_DNA_Pool-1_1E:N9:W2:11	48	8989.94	983334	761084	853315	103379	56.054	48	79110.7	306	337
293T_TFF1_DNA_Pool-1_1E:O7:0W:03	45	2920.25	483078	959943	770310	2.64305e+06	53.1436	45	725230	125	136
293T_TFF1_DNA_Pool-1_1E:O7:93:12	25	954.513	185132	560310	689775	0	28.2597	25	0	52	56
293T_TFF1_DNA_Pool-1_1E:O7:A6:01	27	1798.85	255140	335781	14842.8	29237.3	27.78	27	116404	76	87
293T_TFF1_DNA_Pool-1_1E:Q0:P8:09	47	1700.37	1.84914e+06	670310	939484	41225.5	55.7504	47	126537	92	96
293T_TFF1_DNA_Pool-1_1E:Q4:17:09	21	4106	161122	130595	7747.17	1.60066e-36	21.0643	21	70858.4	135	149
293T_TFF1_DNA_Pool-1_1E:Q4:O1:12	39	3592.59	1.04275e+06	857297	799073	1.04764e+06	48.6501	39	1.74526e+06	133	143
293T_TFF1_DNA_Pool-1_1E:Q8:E2:10	45	2178.81	2.97163e+06	1.05246e+06	793535	873733	56.6253	45	926636	102	107
293T_TFF1_DNA_Pool-1_1E:S7:A0:12	208	13772.8	2.69976e+06	2.19159e+06	1.83833e+06	3.16568e+06	239.801	208	4.31279e+06	513	564
293T_TFF1_DNA_Pool-1_1E:S8:A0:11	22	3591.82	627933	532299	20924.8	0	24.8022	22	53712.1	114	122
293T_TFF1_DNA_Pool-1_1E:S8:D4:11	53	3161.65	2.07174e+06	827721	750163	927148	62.3002	53	661414	139	149
293T_TFF1_DNA_Pool-1_1E:T1:H2:09	86	1567.69	0	873044	863773	47951.3	101.9	86	192088	127	133
